,rank,movie_name,movie_url,movie_year,genre,director_name,rating,cast_and_crew
32,33.0,Narvik,https://www.imdb.com/title/tt9737876/,2022,Drama,Erik Skjoldbjærg,6.6,"['Kristine Hartgen' 'Billy Campbell' 'Henrik Mestad' 'Stig Henrik Hoff'
 'Carl Martin Eggesbo' 'Christoph Bach' 'Magnus Dugdale'
 'Mathilde Holtedahl Cuhra' 'Holger Handtke' 'Isak Bakli Aglen'
 'Emil Johnsen' 'Kari Bremnes' 'Benjamin Noble'
 'Christoph Gelfert Mathiesen' 'Oyvind Troite' 'Ole Christopher Holth'
 'Edvard Lie Aalstad' 'Torfinn Nag']"
33,34.0,Ant-Man and the Wasp: Quantumania,https://www.imdb.com/title/tt10954600/,2023,Action,Peyton Reed,6.6,"['Kristine Hartgen' 'Billy Campbell' 'Henrik Mestad' 'Stig Henrik Hoff'
 'Carl Martin Eggesbo' 'Christoph Bach' 'Magnus Dugdale'
 'Mathilde Holtedahl Cuhra' 'Holger Handtke' 'Isak Bakli Aglen'
 'Emil Johnsen' 'Kari Bremnes' 'Benjamin Noble'
 'Christoph Gelfert Mathiesen' 'Oyvind Troite' 'Ole Christopher Holth'
 'Edvard Lie Aalstad' 'Torfinn Nag']"
34,35.0,The Wandering Earth II,https://www.imdb.com/title/tt13539646/,2023,Action,Frant Gwo,8.0,"['Andy Lau' 'Zina Blahusova' 'Jing Wu' 'Clara Lee' 'Zhi Wang' 'Liya Tong'
 'Yanmanzi Zhu' 'Matias Lorieri' 'Jeremiah Blakely' 'Xuejian Li' 'Li Ning'
 'Temur Mamisashvili' 'Mahnaz Damania' 'Alysa Finnegan' 'Yi Sha'
 'Anil Joseph' 'Mitall Modi' 'Khalid Ghanem']"
35,36.0,To Leslie,https://www.imdb.com/title/tt8129806/,2022,Drama,Michael Morris,7.1,"['Andrea Riseborough' 'Allison Janney' 'Stephen Root'
 'James Landry Hebert' 'Owen Teague' 'Matt Lauria' 'Marc Maron'
 'Andre Royo' 'Mac Brandt' 'Tom Virtue' 'Juan Carlos Cantu'
 'Lauren Letherer' 'Alan Wells' 'Scott Peat' 'Stephanie Wong'
 'Paula Rhodes' 'Arabella Grant' 'Alessandra Perez']"
36,37.0,Women Talking,https://www.imdb.com/title/tt13669038/,2022,Drama,Sarah Polley,7.5,"['Rooney Mara' 'Claire Foy' 'Jessie Buckley' 'Frances McDormand'
 'Judith Ivey' 'Emily Mitchell' 'Kate Hallett' 'Liv McNeil'
 'Sheila McCarthy' 'Michelle McLeod' 'Kira Guloien' 'Shayla Brown'
 'Vivien Endicott Douglas' 'Ben Whishaw' 'August Winter'
 'Lochlan Ray Miller' 'Nathaniel McParland' 'Will Bowes']"
37,38.0,Shazam! Fury of the Gods,https://www.imdb.com/title/tt10151854/,2023,Action,David F. Sandberg,7.5,"['Rooney Mara' 'Claire Foy' 'Jessie Buckley' 'Frances McDormand'
 'Judith Ivey' 'Emily Mitchell' 'Kate Hallett' 'Liv McNeil'
 'Sheila McCarthy' 'Michelle McLeod' 'Kira Guloien' 'Shayla Brown'
 'Vivien Endicott Douglas' 'Ben Whishaw' 'August Winter'
 'Lochlan Ray Miller' 'Nathaniel McParland' 'Will Bowes']"
38,39.0,Knives Out,https://www.imdb.com/title/tt8946378/,2019,Comedy,Rian Johnson,7.9,"['Daniel Craig' 'Chris Evans' 'Ana de Armas' 'Jamie Lee Curtis'
 'Michael Shannon' 'Don Johnson' 'Toni Collette' 'LaKeith Stanfield'
 'Christopher Plummer' 'Katherine Langford' 'Jaeden Martell'
 'Riki Lindhome' 'Edi Patterson' 'Frank Oz' 'K Callan' 'Noah Segan'
 'M. Emmet Walsh' 'Marlene Forte']"
39,40.0,The Super Mario Bros. Movie,https://www.imdb.com/title/tt6718170/,2023,Animation,Aaron Horvath,7.9,"['Daniel Craig' 'Chris Evans' 'Ana de Armas' 'Jamie Lee Curtis'
 'Michael Shannon' 'Don Johnson' 'Toni Collette' 'LaKeith Stanfield'
 'Christopher Plummer' 'Katherine Langford' 'Jaeden Martell'
 'Riki Lindhome' 'Edi Patterson' 'Frank Oz' 'K Callan' 'Noah Segan'
 'M. Emmet Walsh' 'Marlene Forte']"
40,41.0,Avatar,https://www.imdb.com/title/tt0499549/,2009,Action,James Cameron,7.9,"['Sam Worthington' 'Zoe Saldana' 'Sigourney Weaver' 'Michelle Rodriguez'
 'Stephen Lang' 'Giovanni Ribisi' 'Joel David Moore' 'CCH Pounder'
 'Wes Studi' 'Laz Alonso' 'Dileep Rao' 'Matt Gerald' 'Sean Anthony Moran'
 'Jason Whyte' 'Scott Lawrence' 'Kelly Kilgour' 'James Patrick Pitt'
 'Sean Patrick Murphy']"
41,42.0,Jurassic World Dominion,https://www.imdb.com/title/tt8041270/,2022,Action,Colin Trevorrow,5.6,"['Chris Pratt' 'Bryce Dallas Howard' 'Laura Dern' 'Sam Neill'
 'Jeff Goldblum' 'DeWanda Wise' 'Mamoudou Athie' 'Isabella Sermon'
 'Campbell Scott' 'BD Wong' 'Omar Sy' 'Justice Smith' 'Daniella Pineda'
 'Scott Haze' 'Dichen Lachman' 'Kristoffer Polaha' 'Caleb Hearon'
 'Freya Parker']"
42,43.0,The Batman,https://www.imdb.com/title/tt1877830/,2022,Action,Matt Reeves,7.8,"['Robert Pattinson' 'Zoe Kravitz' 'Jeffrey Wright' 'Colin Farrell'
 'Paul Dano' 'John Turturro' 'Andy Serkis' 'Peter Sarsgaard'
 'Barry Keoghan' 'Jayme Lawson' 'Gil Perez-Abraham' 'Peter McDonald'
 ""Con O'Neill"" 'Alex Ferns' 'Rupert Penry-Jones' 'Kosha Engler'
 'Archie Barnes' 'Janine Harouni']"
43,44.0,The Boogeyman,https://www.imdb.com/title/tt3427252/,2023,Horror,Rob Savage,7.8,"['Robert Pattinson' 'Zoe Kravitz' 'Jeffrey Wright' 'Colin Farrell'
 'Paul Dano' 'John Turturro' 'Andy Serkis' 'Peter Sarsgaard'
 'Barry Keoghan' 'Jayme Lawson' 'Gil Perez-Abraham' 'Peter McDonald'
 ""Con O'Neill"" 'Alex Ferns' 'Rupert Penry-Jones' 'Kosha Engler'
 'Archie Barnes' 'Janine Harouni']"
44,45.0,Amsterdam,https://www.imdb.com/title/tt10304142/,2022,Comedy,David O. Russell,6.1,"['Christian Bale' 'Margot Robbie' 'John David Washington'
 'Alessandro Nivola' 'Andrea Riseborough' 'Anya Taylor-Joy' 'Chris Rock'
 'Matthias Schoenaerts' 'Michael Shannon' 'Mike Myers' 'Taylor Swift'
 'Timothy Olyphant' 'Zoe Saldana' 'Rami Malek' 'Robert De Niro' 'Mel Fair'
 'Vaughn Page' 'Bonnie Hellman']"
45,46.0,An Action Hero,https://www.imdb.com/title/tt15600222/,2022,Action,Anirudh Iyer,7.3,"['Ayushmann Khurrana' 'Jaideep Ahlawat' 'Neeraj Madhav' 'Gautam Joglekar'
 'Akshay Kumar' 'Harsh Chhaya' 'Vaquar Shaikh' 'Malaika Arora'
 'Nora Fatehi' 'Jitender Hooda' 'Sumit Singh' 'Balakrishnan Natarajan'
 'Sagar Arya' 'Jitendra Rai' 'Siddharth Amar' 'Badrul Islam' 'Garima Jha'
 'Girish Sharma']"
46,47.0,Where the Crawdads Sing,https://www.imdb.com/title/tt9411972/,2022,Drama,Olivia Newman,7.2,"['Daisy Edgar-Jones' 'Taylor John Smith' 'Harris Dickinson'
 'David Strathairn' 'Michael Hyatt' 'Sterling Macer Jr.' 'Logan Macrae'
 'Bill Kelly' ""Ahna O'Reilly"" 'Garret Dillahunt' 'Jojo Regina'
 'Luke David Blumm' 'Blue Clarke' 'Will Bundon' 'Jayson Warner Smith'
 'Dane Rhodes' 'Eric Ladin' 'Robert Larriviere']"
47,48.0,Missing,https://www.imdb.com/title/tt10855768/,2023,Drama,Nicholas D. Johnson,7.4,"['Tim Griffin' 'Ava Zaria Lee' 'Nia Long' 'Kimberly Cheng' 'Storm Reid'
 'Ken Leung' 'Amy Landecker' 'Megan Suri' 'Lisa Yamada'
 'Sharar Ali-Speakes' 'Jameel Shivji' 'Michael Segovia' 'Daniel Henney'
 'Joaquim de Almeida' 'Lauren B. Mosley' 'Rick Chambers' 'Tracy Vilar'
 'Viviana Salinas']"
48,49.0,Winnie the Pooh: Blood and Honey,https://www.imdb.com/title/tt19623240/,2023,Horror,Rhys Frake-Waterfield,4.7,"['Gillian Broderick' 'Paula Coiz' 'Chris Cordell' 'Frederick Dallaway'
 'Amber Doig-Thorne' 'Craig David Dowsett' 'Simon Ellis' 'Mark Haldor'
 'Richard Harfst' 'May Kelly' 'Nikolai Leon' 'Marcus Massey'
 'Natasha Rose Mills' 'Richard D. Myers' 'Jase Rivers' 'Danielle Ronald'
 'Danielle Scott' 'Maria Taylor']"
49,50.0,Vengeance,https://www.imdb.com/title/tt11976532/,2022,Comedy,B.J. Novak,6.8,"['B.J. Novak' 'Boyd Holbrook' 'Lio Tipton' 'Ashton Kutcher'
 'Isabella Amara' 'Dove Cameron' 'J. Smith-Cameron' 'Eli Bickel'
 'Issa Rae' 'Louanne Stephens' 'John Mayer' 'Clint Obenchain' 'Zach Villa'
 'Tony Sedillo' 'Rio Alexander' 'Sarah Minnich' 'Ben Whitehair'
 'Grayson Berry']"
50,51.0,Blonde,https://www.imdb.com/title/tt1655389/,2022,Biography,Andrew Dominik,5.5,"['Ana de Armas' 'Lily Fisher' 'Julianne Nicholson' 'Tygh Runyan'
 'Michael Drayer' 'Sara Paxton' 'Ryan Vincent' 'Vanessa Lemonides'
 'Patrick Brennan' 'Rob Brownstein' 'Evan Williams' 'Xavier Samuel'
 'Dan Butler' 'David Warshofsky' 'Rebecca Wisocky' 'Sonny Valicenti'
 'George Sanders' 'Ethan Cohn']"
51,52.0,Operation Fortune,https://www.imdb.com/title/tt7985704/,2023,Action,Guy Ritchie,6.7,"['Jason Statham' 'Aubrey Plaza' 'Cary Elwes' 'Hugh Grant' 'Josh Hartnett'
 'Bugzy Malone' 'Eddie Marsan' 'Tim Seyfi' 'Peter Ferdinando'
 'Nicholas Facey' 'Lourdes Faberes' 'Sam Douglas' 'Ergun Kuyucu'
 'Oliver Maltman' 'Matthew Hawksley' 'Max Beesley' 'Aksel Ustun'
 'Md Numan Ahmed']"
52,53.0,Oppenheimer,https://www.imdb.com/title/tt15398776/,2023,Biography,Christopher Nolan,6.7,"['Jason Statham' 'Aubrey Plaza' 'Cary Elwes' 'Hugh Grant' 'Josh Hartnett'
 'Bugzy Malone' 'Eddie Marsan' 'Tim Seyfi' 'Peter Ferdinando'
 'Nicholas Facey' 'Lourdes Faberes' 'Sam Douglas' 'Ergun Kuyucu'
 'Oliver Maltman' 'Matthew Hawksley' 'Max Beesley' 'Aksel Ustun'
 'Md Numan Ahmed']"
53,54.0,Guillermo del Toro's Pinocchio,https://www.imdb.com/title/tt1488589/,2022,Animation,Guillermo del Toro,7.6,"['Ewan McGregor' 'David Bradley' 'Gregory Mann' 'Burn Gorman'
 'Ron Perlman' 'John Turturro' 'Finn Wolfhard' 'Cate Blanchett'
 'Tim Blake Nelson' 'Christoph Waltz' 'Tilda Swinton' 'Tom Kenny'
 'Alfie Tempest' 'Anthea Greco' 'Francesca Fanti' 'Sandro Carotti'
 'Rio Mangini' 'Benjamin Valic']"
