,image_src,anchor_tag_links
40,"https://m.media-amazon.com/images/M/MV5BNzE1YTViN2EtMGRkNC00ZWE5LTlkODUtNTA0MGVkNzE5ZWUzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.comhttps://www.imdb.com/search/
41,"https://m.media-amazon.com/images/M/MV5BOTA4YWEwZDUtYWE5OC00MzVlLWJjOWItNThmMDU4YThlODI2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.comhttps://pro.imdb.com/login/ap?u=/login/lwa&imdbPageAction=signUp&rf=cons_nb_hm&ref_=cons_nb_hm
42,"https://m.media-amazon.com/images/M/MV5BZDc1MjI3YzAtNjk0OC00NGFmLWEzZTctNzQwMjlkZGJjNTRhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UY214_CR0,0,380,214_.jpg",https://www.imdb.com/list/watchlist?ref_=nv_usr_wl_all_0
43,"https://m.media-amazon.com/images/M/MV5BYmNlNzAwYjctNmE1Ny00MWVmLWE1YjctMmVhZTZhOTdjZjEwXkEyXkFqcGdeQWplZmZscA@@._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.com/registration/signin?ref=nv_generic_lgin&u=
44,"https://m.media-amazon.com/images/M/MV5BNzU0MDdhNGYtMGNjYi00YjJjLWI5ODctNDQzMjFhODhjMjkxXkEyXkFqcGdeQXRyZXdlcw@@._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.com/registration/signin?ref_=signup_cm_nc_ca_btn&u=
45,"https://m.media-amazon.com/images/M/MV5BYTIzMDZhMzUtOWE2OS00ZTY5LTkzNGMtNTRmMzY2NmQ5NjE4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.com/registration/signin?ref_=signup_cm_nc_ca&u=
46,"https://m.media-amazon.com/images/M/MV5BYjhiZWFiODItYzg1Mi00NTkzLWFlMWQtNmIxZTJmOGNhNjQ2XkEyXkFqcGdeQXNhcmFocmVi._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.comhttps://help.imdb.com/article/issues/G6TCMBKAAR5G95EN?ref_=loc_nav_sel_hlp
47,"https://m.media-amazon.com/images/M/MV5BYWEzOGY1NTItYzBkZi00NDRiLWI4MzItZDJjNDlmMDZmM2EyXkEyXkFqcGdeQXNhcmFocmVi._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.com/list/ls053181649/videoplayer/vi1463797017?ref_=hp_hp_e_15
48,"https://m.media-amazon.com/images/M/MV5BZWUzNmJkYWUtZjFiZS00MjY0LTk2MDUtMzU4MTY3YzA5ZTVkXkEyXkFqcGdeQXJoYW5uYWg@._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.com/list/ls053181649/videoplayer/vi3759654169?ref_=hp_hp_e_1
49,"https://m.media-amazon.com/images/M/MV5BMGQ0NzYxMDktZjkyMi00YjlkLWJjZmYtMDZjYWYwODc0NzljXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.com/list/ls053181649/videoplayer/vi2054735129?ref_=hp_hp_e_2
